Event Name,Time,Distinct ID,City,Country,Operating System,Duration
splash_to_Dashboard,1683383916.614,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,5.926
splash_to_Dashboard,1683382503.714,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,3.63
splash_to_Dashboard,1683379620.888,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,14.813
splash_to_Dashboard,1683377409.739,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,53.818
splash_to_Dashboard,1683375282.641,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,30.025
splash_to_Dashboard,1683374610.656,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,46.336
splash_to_Dashboard,1683373929.648,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,4.718
splash_to_Dashboard,1683371923.067,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,4.497
splash_to_Dashboard,1683369808.004,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,14796.91
splash_to_Dashboard,1683368867.071,64169b8d674dacfa26a51923::ED244EF2-C697-4F7F-94D6-1B96376EEF02,Delhi,IN,iOS,351.733
splash_to_Dashboard,1683361744.451,645525ec11c6e3f4fc10b4e3::ECAD9DC4-67D2-4494-921F-7D67EE7504D5,Greater Noida,IN,iOS,4.922
splash_to_Dashboard,1683358074.958,63ece59d4bb1fe648aac13d3::9F76A942-B50E-4548-8BE0-E5765E2F7C69,Delhi,IN,iOS,5.511
splash_to_Dashboard,1683357774.133,6401eed49f741c4433c564ef::3BFBAC82-0C76-4445-B300-F8EE8E28626A,Gurgaon,IN,iOS,3.133
splash_to_Dashboard,1683354945.329,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,11.03
splash_to_Dashboard,1683354701.189,643e937ebdac9e109d21bf7f::414E6CC9-BEBA-4768-9316-1F0FEDB2D299,Delhi,IN,iOS,11.859
splash_to_Dashboard,1683354068.184,64520b98dfe74e10bff34e6a::6D4A1107-3A93-41C1-9A78-D89B51C7E865,Delhi,IN,iOS,4.589
splash_to_Dashboard,1683351944.96,6401eed49f741c4433c564ef::3BFBAC82-0C76-4445-B300-F8EE8E28626A,Delhi,IN,iOS,49054.302
splash_to_Dashboard,1683349599.876,645525ec11c6e3f4fc10b4e3::ECAD9DC4-67D2-4494-921F-7D67EE7504D5,Greater Noida,IN,iOS,2.899
splash_to_Dashboard,1683348368.237,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,9.472
splash_to_Dashboard,1683346424.388,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Chandigarh,IN,iOS,13.249
splash_to_Dashboard,1683345843.158,6426cbc5041f1d8f6eb2d270::72DB0F8E-D812-45FF-93ED-E09FAA3C3F12,Delhi,IN,iOS,10.651
splash_to_Dashboard,1683345098.432,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,12.406
splash_to_Dashboard,1683342212.752,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,4.65
splash_to_Dashboard,1683336761.524,640db9d1674dacfa2687018b::D989DA59-DDD8-43E9-8B9B-519C5F7381B7,Delhi,IN,iOS,9.46
splash_to_Dashboard,1683313388.369,645525ec11c6e3f4fc10b4e3::ECAD9DC4-67D2-4494-921F-7D67EE7504D5,Delhi,IN,iOS,3.077
